NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06787677,SPG Pulsed Radiofrequency for Chronic Cluster Headache,https://clinicaltrials.gov/study/NCT06787677,,RECRUITING,"Cluster headache (CH) is a devastating disorder characterized by ipsilateral headache and associated trigeminal autonomic symptoms, with a yearly prevalence of 0.1%. There is a huge clinically unmet demand for an effective therapeutic method for CH. Previous evidences indicate that pulse radiofrequency (PRF) targeting the sphenopalatine ganglion (SPG) is a safe, minimally invasive, effective treatment for CH. This randomized, controlled trial aimed to establish the safety and efficacy of SPG PRF for patients with chronic CH.",NO,"Headache, Cluster",PROCEDURE: PRF|PROCEDURE: NB,"The mean attack frequency in the last 4 weeks (week 8-12) after procedure, The overall mean change from baseline in mean weekly attack frequency, In the last 4 weeks (week 8-12) after procedure","Mean attack frequency, Mean change in mean attack frequency, From baseline to each 4-week interval through 1 year after procedure|50% reduction of mean attack frequency, Percentage of patients with a 50% reduction in mean attack frequency, From baseline to each 4-week interval through 1 year after procedure|30% reduction of mean attack frequency, Percentage of patients with a 30% reduction in mean attack frequency, From baseline to each 4-week interval through 1 year after procedure|Patient Global Impression of Improvement, Percentage of patients reporting a score of 1 (''very much better'') or 2 (''much better''), At month 1, month 2, month 3, month 6, and month 12 after procedure|Mean attack intensity, 0-10 on the numeric rating scale, with 0 equating no pain and 10 the worst pain possible, From baseline to each 4-week interval through 1 year after procedure|Patient satisfaction scores, 0 point indicates unsatisfied to 10 points indicate very satisfied. The higher the score, the more dissatisfied the patient is., At month 1, month 2, month 3, month 6, and month 12 after procedure|The incidence of perioperative adverse events, Perioperative adverse events (AEs) including headache, dizziness, nausea, vomiting, facial hematoma, and numbness in the area innervated by the maxillary nerve, Across 1 year after procedure",,Beijing Tiantan Hospital,,ALL,"ADULT, OLDER_ADULT",NA,108,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,KY 2018-027-02-1,2025-01-24,2029-12-31,2030-12-31,2025-01-22,,2025-01-27,"Fang Luo, Beijing, Beijing Municipality, 100070, China",
NCT06540651,Efficacy of Light Therapy in Treatment of Chronic Cluster Headache,https://clinicaltrials.gov/study/NCT06540651,LUMIAVFc,RECRUITING,"Cluster headache is a primary headache. The chronic form of the disease is often difficult to treat. It is now considered a chronobiological disease. This chronobiological character is based on clinical, biological and radiological arguments.

This study focuses on the use of light therapy in cluster headache. Light therapy has already been used in the treatment of other chronobiological diseases, such as seasonal depression, but also recently in the therapy of other primary headaches (such as migraine). Its aim is to re-adjust chronobiological rhythms, and it therefore seems worth testing in the chronic form of cluster headache.

Light therapy is delivered to the patient using a consumer electronics device.The main objective is to evaluate the prophylactic efficacy of light therapy in patients with chronic cluster headache.",NO,Cluster Headache,OTHER: use of Luminettes ® with active light emission|OTHER: use of Luminettes ® with a light emission presumed to have no therapeutic effect,"The median weekly number of cluster headache attacks, The difference in the median weekly number of cluster headache attacks between the month prior to randomization and the month of the double-blind period, between the two arms., At day 28","Incidence and nature of adverse reactions, Headache, eye fatigue, dry eyes, nausea, Daily|Intensity of cluster headache, mild, moderate, severe, very severe, Daily|Use of acute treatments, sumatriptan and oxygen therapy, Daily|Patient's Global Impression of Change (PGIC) score, From better outcome, score 1 (Highly improved) to worse outcome, score 7 (Highly aggravated), At day 28",,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",NA,48,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",RCAPHM23_0463|2024-A01453-44,2025-02-06,2027-02-05,2027-05-05,2024-08-06,,2025-03-17,"Hopital La Timone, Marseille, 13005, France|Hôpital de Cimiez, Nice, 06000, France",
NCT04280055,Prophylactic Effects of Psilocybin on Chronic Cluster Headache,https://clinicaltrials.gov/study/NCT04280055,EPOCH,TERMINATED,"The purpose of this study is to investigate the prophylactic effects of psilocybin in chronic cluster headache. Subjects will receive a low dose of psilocybin during 3 sessions spaced by one week. Subjects will maintain a headache diary prior to, during, and after the administrations in order to document headache frequency, intensity and duration. Subjects will undergo a fMRI scanning before the first and after the last psilocybin session.",NO,Cluster Headache,DRUG: Psilocybin,"Headache frequency, Change in headache frequency in number of attacks/week, Week 6-10 (post drug observation) compared to week 0-4 (baseline observation)|Resting state FC fMRI analyses, Resting state FC fMRI analyses, including hypothalamic FC, comparing baseline and rescan, comparison with healthy control sample, and evaluation of correlation between headache frequency changes and FC changes., Day 1 of first psilocybin session to 1 week after last psilocybin session (3 weeks)","Proportion of reduced frequency, Proportion of patients with a 50% reduction in headache frequency, Week 6-10 (post drug observation) compared to week 0-4 (baseline observation)|Headache intensity, Change in average headache intensity of attacks (0-10 on Visual Analog Scale (VAS), where 0 is no pain and 10 is worst pain imaginable), Week 6-10 (post drug observation) compared to week 0-4 (baseline observation)|Need of acute therapy, Number of attacks requiring acute therapy, Week 6-10 (post drug observation) compared to week 0-4 (baseline observation)|Sideeffects, Proportion of patients experiencing serious side effects, Whole observation period (10 weeks)|Remission, Proportion of patients with remission lasting more than 1 month, Day 1 after first psilocybin session until 12 month follow up (1 year).|Remission duration, Duration of induced remission (number of weeks), Day 1 after first psilocybin session until 12 month follow up (1 year).|SF-36, Quality of life assessed by questionnaires: The Short Form (36) Health Survey. SF-36 consists of eight scaled scores, which are the weighted sums of the questions in their section. Each scale is directly transformed into a 0-100 scale on the assumption that each question carries equal weight. A score of zero is equivalent to maximum disability and a score of 100 is equivalent to no disability., Week 6-10 (post drug observation) compared to week 0-4 (baseline observation)|Preferred treatment, Proportion of patients that prefers to continue with psilocybin if this was an option or want to return to usual prophylactics., Whole observation period (10 weeks)|Mood, Changes in mood measured be the POMS questionaire., Pre-psilocybin (week 1 and 5) vs post-psilocybin (week six and eight).|Sleep quality, Sleep quality measured by the PSQI questionaire., Pre-psilocybin (week 1 and 5) vs post-psilocybin (week six and eight).|Depressive symptoms, Depressive symptoms measured by the MDI questionaire., Pre-psilocybin (week 1 and 5) vs post-psilocybin (week six and eight).|Stress, Perceived stress measured by the PSS questionaire., Pre-psilocybin (week 1 and 5) vs post-psilocybin (week six and eight).",,Gitte Moos Knudsen,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,H-18040896,2020-01-21,2020-11-01,2022-06-01,2020-02-21,,2022-08-10,"Neurobiology Research Unit, Rigshospitalet, Copenhagen, 2100, Denmark",
NCT04066023,Double-Blind Comparison of the Efficacy and Safety of C213 to Placebo for the Acute Treatment of Cluster Headaches,https://clinicaltrials.gov/study/NCT04066023,,COMPLETED,"This is a double-blind, placebo-controlled study. Subjects who meet the entry criteria will be randomized o receive one of three blinded treatments \[C213 1.9 mg patch and placebo patch; C213 3.8 mg (1.9 mg x 2 patches), two placebo patches\] on Day 1 and will have up to 48 weeks to confirm and treat a cluster headache. Subjects will self-administer the patches and respond to questions in the electronic diary (eDiary) until 1-hour post treatment administration.",YES,Cluster Headache,DRUG: C213 Microneedle System|DRUG: Placebo,"Percentage of Subjects Who Achieve Pain Relief, Pain relief is defined by a decrease in pain from severe to mild or none without the use of acute rescue medication., 15 minutes|Percentage of Subjects Who Achieve Sustained Pain Relief, Sustained pain relief requires a pain rating of mild or none at each timepoint from 15 minutes to 60 minutes without the use of acute rescue medication., 15 minutes to 60 minutes","Percentage of Subjects That Achieve Pain Relief, Pain relief is defined by a decrease in pain from severe to mild or none without the use of acute rescue medication., 5 minutes|Percentage of Subjects That Achieve Sustained Pain Relief, Sustained pain relief requires a pain rating of mild or none at each timepoint within the time frame without the use of acute rescue medication., 5 minutes to 60 minutes|Percentage of Subjects That Achieve Pain Freedom, Pain freedom is defined by a decrease in pain from severe to none without the use of acute rescue medication., 10 minutes|Percentage of Subjects That Achieve Sustained Pain Freedom, Sustained pain freedom requires a pain rating of none at each timepoint within the time frame without the use of acute rescue medication., 15 to 60 minutes|Percentage of Subjects Able to Perform Their Usual Daily Activities as Assessed by the Subject, Whether or not subjects were able to perform their usual daily activities was assessed by subject responses (Yes or No) in the electronic diary (eDiary) to the question, ""Do you feel able to perform your usual daily activities?"" If a subject responded ""Yes"" but had used a rescue medication, the subject was considered as not being able to perform the usual daily activities., within 20 minutes|Percentage of Subjects That Achieve Pain Relief, Pain relief is defined by a decrease in pain from severe to mild or none without the use of acute rescue medication, 10 minutes|Percentage of Subjects That Achieve Pain Relief, Pain relief is defined by a decrease in pain from severe to mild or none without the use of acute rescue medication., 20 minutes|Percentage of Subjects That Achieve Sustained Pain Relief, Sustained pain relief requires a pain rating of mild or none at each timepoint within the time frame without the use of acute rescue medication., 10 minutes to 60 minutes|Percentage of Subjects That Achieve Pain Freedom, Pain freedom is defined by a decrease in pain from severe to none without the use of acute rescue medication., 20 minutes",,Zosano Pharma Corporation,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,42,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CP-2019-001,2019-10-03,2021-04-14,2021-04-14,2019-08-22,2022-05-02,2022-06-14,"Keck Medicine of USC, Los Angeles, California, 90033, United States|Stanford University, Palo Alto, California, 94304, United States|California Medical Clinic for Headache, Santa Monica, California, 90404, United States|KI Health Partners LLC DBA New England Institute for Clinical Research, Stamford, Connecticut, 06905, United States|Atlanta Headache Specialists, Atlanta, Georgia, 30328, United States|New England Regional Headache Center, Inc., Worcester, Massachusetts, 01605, United States|Nevada Headache Institute, Las Vegas, Nevada, 89113, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States|Dent Neuro Institute, Buffalo, Amherst, New York, 14226, United States|Jefferson Headache Center, Philadelphia, Pennsylvania, 19107, United States|University of Texas Southwestern Medical Center- Neurology Clinic, Dallas, Texas, 75390, United States|Medstar Georgetown University Hospital at McLean, McLean, Virginia, 22101, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/23/NCT04066023/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/23/NCT04066023/SAP_001.pdf"
NCT05978258,A Close Examination of Patient Experiences in Cluster Headache Clinical Research,https://clinicaltrials.gov/study/NCT05978258,,NOT_YET_RECRUITING,"Historically, participation in clinical studies is highly skewed towards particular demographic groups of people.

This research will invite several participants to gather a wide range of information on clinical trial experiences for cluster headache patients. The aim of the study is to identify the factors that limit the ability of a person to enroll in, as well as complete a clinical trial for treatment of cluster headache.

The data collected from this study will help improve future outcomes for all cluster headache patients as well as those in under-represented demographic groups.",NO,Cluster Headache,,"Rate of patients who decide to enroll in a cluster headache clinical study., 3 months|Number of cluster headache patients who remain in clinical research until completion., 12 months",,,Power Life Sciences Inc.,,ALL,"ADULT, OLDER_ADULT",,500,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,81829797,2024-08,2025-08,2026-08,2023-08-07,,2023-08-07,"Power Life Sciences, San Francisco, California, 94107, United States","Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/58/NCT05978258/ICF_000.pdf"
NCT04570475,High Dose Vitamin D Plus Multivitamin in the Prevention of Cluster Headache,https://clinicaltrials.gov/study/NCT04570475,,TERMINATED,"This study intends to investigate the use of high-dose Vitamin D3 plus a multivitamin in the prevention of cluster headache attacks.

Participants can be enrolled anywhere in the United States that has access to one of our participating labs (for blood work - anticipated to be available in most of the USA).

The study may include:

* Screening: Participants may be interviewed, examined, fill out surveys, and get blood testing
* Week 1: baseline period (no added medications - to establish a baseline)
* Weeks 2-4: double-blinded experimental period - participants receive either 1) high-dose Vitamin D3 + multivitamin, or 2) placebo + multivitamin. Participants also fill out a survey and have blood testing.
* Weeks 5-7: open-label period - ALL participants receive high-dose Vitamin D3 + multivitamin. Participants also fill out a survey and may have blood testing.

Specifically, our primary outcome is the change from baseline to experimental weeks 1-3 in the frequency of cluster headache attacks between placebo and high-dose vitamin D. Specific primary and secondary outcomes are listed below.",NO,Cluster Headache,DIETARY_SUPPLEMENT: Vitamin D|DIETARY_SUPPLEMENT: multivitamin|DIETARY_SUPPLEMENT: Placebo,"Change in average weekly frequency of cluster headache attacks, First primary outcome, (baseline, average of weeks 1-3)|Change in average weekly frequency of cluster headache attacks, Second primary outcome, (baseline, week 3)","Number of participants who had a reduction of at least 50% in the weekly frequency of cluster headache attacks between baseline and week 3, (baseline, week 3)|Number of participants who had a reduction of at least 30% in the weekly frequency of cluster headache attacks between baseline and week 3, baseline, week 3|Change in number of abortive medications or other treatments used per week, baseline, week 3|Change in intensity of cluster headache attacks as assessed by numerical rating scale, Total score ranges from 0-10, and a higher score indicates a greater intensity of attacks, baseline, week 3|Change in number of participants whose disease is 'much better' or 'very much better' as assessed by the Patient Global Impression of Improvement Scale, With the Patient Global Impression of Improvement Scale, a patient is asked to rate their disease as Very much better, Much better, A little better, No change, A little worse, Much worse, or Very much worse compared to a reference point in the past, baseline, week 3|Change in quality of life as measured by the Cluster Headache Quality of life questionnaire, Total score ranges from 0-100, and a higher score indicates a better quality of life, baseline, week 3|Change in duration of cluster headache attacks, in minutes, baseline, week 3|Change in level of 25-hydroxyvitamin D, baseline, week 3|Change in average weekly frequency of cluster headache attacks, (baseline, week 6)|Number of participants who had a reduction of at least 50% in the weekly frequency of cluster headache attacks between baseline and week 6, (baseline, week 6)|Number of participants who had a reduction of at least 30% in the weekly frequency of cluster headache attacks between baseline and week 6, baseline, week 6|Change in number of abortive medications or other treatments used per week, baseline, week 6|Change in intensity of cluster headache attacks as assessed by numerical rating scale, Total score ranges from 0-10, and a higher score indicates a greater intensity of attacks, baseline, week 6|Change in number of participants whose disease is 'much better' or 'very much better' as assessed by the Patient Global Impression of Improvement Scale, With the Patient Global Impression of Improvement Scale, a patient is asked to rate their disease as Very much better, Much better, A little better, No change, A little worse, Much worse, or Very much worse compared to a reference point in the past, baseline, week 6|Change in quality of life as measured by the Cluster Headache Quality of life questionnaire, Total score ranges from 0-100, and a higher score indicates a better quality of life, baseline, week 6|Change in duration of cluster headache attacks, in minutes, baseline, week 6|Change in level of 25-hydroxyvitamin D, baseline, week 6|Number of days until end of the cluster period after the start of treatment (i.e., the time to the end of an episodic cluster cycle), upto 3 weeks from treatment|Change in average weekly frequency of cluster headache attacks, (baseline, week 2)|Change in average weekly frequency of cluster headache attacks, (baseline, week 1)|Change in intensity of cluster headache attacks as assessed by numerical rating scale, Total score ranges from 0-10, and a higher score indicates a greater intensity of attacks, baseline, week 2|Change in intensity of cluster headache attacks as assessed by numerical rating scale, Total score ranges from 0-10, and a higher score indicates a greater intensity of attacks, baseline, week 1|Change in duration of cluster headache attacks, in minutes, baseline, week 2|Change in duration of cluster headache attacks, in minutes, baseline, week 1|Change in number of abortive medications or other treatments used per week, baseline, week 2|Change in number of abortive medications or other treatments used per week, baseline, week 1|Change in quality of life as measured by the Cluster Headache Quality of life questionnaire, Total score ranges from 0-100, and a higher score indicates a better quality of life, baseline, week 2|Change in quality of life as measured by the Cluster Headache Quality of life questionnaire, Total score ranges from 0-100, and a higher score indicates a better quality of life, baseline, week 1|Change in level of 25-hydroxyvitamin D, baseline, week 2|Change in level of 25-hydroxyvitamin D, baseline, week 1|Change in level of calcium, baseline, week 3|Change in level of calcium, baseline, week 6|Change in level of calcium, baseline, week 2|Change in level of calcium, baseline, week 1|Change in level of phosphate, baseline, week 3|Change in level of phosphate, baseline, week 6|Change in level of phosphate, baseline, week 1|Change in level of phosphate, baseline, week 2|Change in level of parathyroid hormone, baseline, week 3|Change in level of parathyroid hormone, baseline, week 6|Change in level of parathyroid hormone, baseline, week 1|Change in level of parathyroid hormone, baseline, week 2|Change in level of creatinine, baseline, week 3|Change in level of creatinine, baseline, week 6|Change in level of creatinine, baseline, week 1|Change in level of creatinine, baseline, week 2|Change in number of participants whose disease is 'much better' or 'very much better' as assessed by the Patient Global Impression of Improvement Scale, With the Patient Global Impression of Improvement Scale, a patient is asked to rate their disease as Very much better, Much better, A little better, No change, A little worse, Much worse, or Very much worse compared to a reference point in the past, baseline, week 2|Change in number of participants whose disease is 'much better' or 'very much better' as assessed by the Patient Global Impression of Improvement Scale, With the Patient Global Impression of Improvement Scale, a patient is asked to rate their disease as Very much better, Much better, A little better, No change, A little worse, Much worse, or Very much worse compared to a reference point in the past, baseline, week 1",,"The University of Texas Health Science Center, Houston",,ALL,"ADULT, OLDER_ADULT",NA,27,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",HSC-MS-20-0945,2021-09-15,2024-05-13,2024-05-13,2020-09-30,,2025-02-06,"The University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States",
NCT06011811,Cluster Headache Treatment Survey,https://clinicaltrials.gov/study/NCT06011811,,ACTIVE_NOT_RECRUITING,The objective of this study is to survey patients with cluster headache about treatment effectiveness and their views on treatments. Participants will complete one brief questionnaire online.,NO,Cluster Headache,,"Effectiveness of cluster headache treatment as assessed by a survey, at the time of survey completion, expected to be 6-12 months","Opinions on new cluster headache treatment as assessed by a survey, at the time of survey completion, expected to be 6-12 months",,"The University of Texas Health Science Center, Houston","Clusterbusters, Inc.",ALL,"ADULT, OLDER_ADULT",,5000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,HSC-MS-23-0212,2023-06-29,2025-06-28,2025-06-28,2023-08-25,,2025-06-12,"The University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States",
NCT06410872,Risk Taking and Decision-making in Cluster Headache Patients,https://clinicaltrials.gov/study/NCT06410872,RiCH,COMPLETED,"Since there is conflicting and insufficient data regarding CH personality and addictive behaviour, the investigators will investigate risk- and reward seeking behaviour in people with cluster headache. If an increased tendency towards this behaviour is shown, it will add to the clinical knowledge of cluster headache and possible lead to insights in a common biological susceptibility.",NO,Cluster Headache,DIAGNOSTIC_TEST: BART Task,"Difference in mean total score on the Zuckerman Sensation Seeking Scale between groups, Between group difference, One time-point|Difference in mean total number of pumps during second trial between groups, Between group difference, One time-point","Difference in mean scores on the array of psychometric tests between groups, Between group difference, One time-point|Difference in mean scores on the BART between groups and between the first and second BART within groups, Average # of pumps, Exploded Balloons, One time-point",,Leiden University Medical Center,,ALL,"ADULT, OLDER_ADULT",,140,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,NL68327,2019-04-23,2022-01-01,2022-01-01,2024-05-13,,2024-05-13,"LUMC, Leiden, South Holland, Netherlands",
NCT04179266,Effect of Ketamine Intranasal Spray in Treatment of Chronic Cluster Headache,https://clinicaltrials.gov/study/NCT04179266,,COMPLETED,"Ketamine has been used clinically IV in a very safe manner by a very small number of clinicians, to treat migraines and CH, and various other rarer pain disorders, including mixed headache and neuropathic pain clinical syndromes. In 5 cases taken from Krusz J.C. headache clinic data in Dallas, Texas US, an intranasal spray of ketamine aqueous solution of 100 µL in one nostril were dosed in treatment of patients with refractory chronic cluster headache as an alternative to IV-treatment (data not published).The net conclusion, at this point, is that intranasal ketamine is a legitimate pharmacologic treatment and is safe and has in one case series proven effective for CH rescue.

The CCH patients will be dosed with an intranasal spray containing 172.5 mg ketamine hydrochloride (150 mg ketamine base) per ml in an aqueous solution. The individual dosing includes 15 mg ketamine in an intranasal sprayed volume of 100 µL given in one nose nostril under supervision of a nurse. The treatment is initiated at T0 under a CH attack when the headache pain exceeds NRS = 6 on an NRS pain scale. The first intranasal dose of 15 mg is given at time 0 and at time intervals of 6 minutes. At 15 minutes after 3 doses (45 mg) it is decided to evaluate whether the patient is sufficiently pain relieved (e.g. NRS \< 4) or wants to receive rescue medications instead or if pain is not sufficiently relieved wants to continue until 5 dosing's (75 mg) are received at timepoints T24. The final evaluation of the treatment is performed at T30. Participants are followed up after 1-2 weeks by telehone",NO,Cluster Headache,DRUG: Ketamine,"Effect on pain intensity at 15 min (50% reduction), A 50% or more reduction in pain on a ten-point NRS scale (0: no pain, 10: worst imaginable pain) at T15 from pain intensity at T=0 ., 15 minutes","Effect on pain intensity at 30 min, A 50% or more reduction in pain on a ten-point NRS scale (0: no pain, 10: worst imaginable pain) at T30 from pain intensity at T=0., 30 minutes|Effect on pain intensity at 15 min (25% reduction), A 25% reduction in pain on a ten-point NRS scale (0: no pain, 10: worst imaginable in) at T15 from pain intensity at T=0., 15 minutes|Proportion of patients achieving NRS less than 4 at 15 minutes, Proportion of patients achieving NRS less than 4 at 15 minutes, 15 minutes|Proportion of patients achieving NRS less than 4 at 30 minutes, Proportion of patients achieving NRS less than 4 at 30 minutes, 30 minutes|Proportion of patients receiving rescue medication at 15 minutes, Proportion of patients receiving rescue medication at 15 minutes, 15 minutes|Proportion of patients preferring ketamine treatment compared to oxygen or injectable sumatriptan., Proportion of patients preferring ketamine treatment compared to oxygen or injectable sumatriptan., 180 minutes (entire attack)|Proportion of patients experiencing serious side effects during treatment, Proportion of patients experiencing serious side effects during treatment, one week follow-up.",,CCH Pharmaceuticals,Danish Headache Center,ALL,ADULT,PHASE1|PHASE2,23,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-001260-29,2019-11-20,2020-05-12,2020-05-25,2019-11-27,,2021-02-24,"Danish Headache Center, Glostrup Municipality, DK-2600, Denmark",
NCT02310828,The Efficacy of L-cysteine in Prevention of Cluster Headache,https://clinicaltrials.gov/study/NCT02310828,,COMPLETED,The purpose of this study is to validate the novel hypothesis that daily use of L-cysteine (Acetium® capsules) is an effective means to decrease the frequency of (or completely abort) the attacks of cluster headache.,NO,Cluster Headache,DRUG: Acetium|DRUG: Placebo,"The frequency of headache attacks per week, The frequency of headache attacks per week, either during the entire treatment period or during the last treatment interval is compared with the baseline frequencies, to disclose differences between the two study arms., 1 month",,,Biohit Oyj,The Finnish Funding Agency for Technology and Innovation (TEKES),ALL,"ADULT, OLDER_ADULT",NA,60,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",AC-CLUSTPREV-1,2013-12-17,2019-02-08,2020-10-14,2014-12-08,,2021-02-17,"Terveystalo, Kamppi, Helsinki, 00100, Finland|Lääkärikeskus Aava, Helsingin Päänsärkykeskus Oy, Helsinki, 00930, Finland|Terveystalo, Jyväskylä, Jyväskylä, 40100, Finland|Terveystalo, Oulu, Oulu, 90100, Finland|Terveystalo, Tampere, Tampere, 33100, Finland|Terveystalo, Turku, Turku, 20100, Finland",
