"type","title","description","population_description","reporting_status","param_type","unit_of_measure","time_frame","dispersion_type","class_title","group_id","value","spread","group_title","group_description"
"PRIMARY","Comparison of the Headache Pain Free Attack Rates at 15 Minutes Following the Treatment","Headache pain was collected at the beginning of the attack (all treated attacks) and 15 minutes post treatment pain free attacks.

Data was collected in the patient diary.","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of treated attacks","OG000",495,NA,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"PRIMARY","Comparison of the Headache Pain Free Attack Rates at 15 Minutes Following the Treatment","Headache pain was collected at the beginning of the attack (all treated attacks) and 15 minutes post treatment pain free attacks.

Data was collected in the patient diary.","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of treated attacks","OG001",400,NA,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"PRIMARY","Comparison of the Headache Pain Free Attack Rates at 15 Minutes Following the Treatment","Headache pain was collected at the beginning of the attack (all treated attacks) and 15 minutes post treatment pain free attacks.

Data was collected in the patient diary.","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of treated attack pain free at 15 minutes","OG000",67,NA,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"PRIMARY","Comparison of the Headache Pain Free Attack Rates at 15 Minutes Following the Treatment","Headache pain was collected at the beginning of the attack (all treated attacks) and 15 minutes post treatment pain free attacks.

Data was collected in the patient diary.","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of treated attack pain free at 15 minutes","OG001",46,NA,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Change in Disability From Baseline (Randomization) to 2 Weeks After Baseline","Mean difference of scores on a 5 step disability scale. Disability was measured at baseline and after the randomization phase (2 weeks later). Lowest score is 1 and is better than the higher score at 5 that is the worst. An increase, higher scores, means worsening.

1. minor
2. minor/moderate
3. moderate
4. moderate/severe
5. severe","Safety population, three patients in the Sham device group have no data","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Disability score at baseline","OG000",3.9,0.2,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Change in Disability From Baseline (Randomization) to 2 Weeks After Baseline","Mean difference of scores on a 5 step disability scale. Disability was measured at baseline and after the randomization phase (2 weeks later). Lowest score is 1 and is better than the higher score at 5 that is the worst. An increase, higher scores, means worsening.

1. minor
2. minor/moderate
3. moderate
4. moderate/severe
5. severe","Safety population, three patients in the Sham device group have no data","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Disability score at baseline","OG001",3.7,0.2,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Change in Disability From Baseline (Randomization) to 2 Weeks After Baseline","Mean difference of scores on a 5 step disability scale. Disability was measured at baseline and after the randomization phase (2 weeks later). Lowest score is 1 and is better than the higher score at 5 that is the worst. An increase, higher scores, means worsening.

1. minor
2. minor/moderate
3. moderate
4. moderate/severe
5. severe","Safety population, three patients in the Sham device group have no data","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Disability score at 2 weeks","OG000",3.3,0.2,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Change in Disability From Baseline (Randomization) to 2 Weeks After Baseline","Mean difference of scores on a 5 step disability scale. Disability was measured at baseline and after the randomization phase (2 weeks later). Lowest score is 1 and is better than the higher score at 5 that is the worst. An increase, higher scores, means worsening.

1. minor
2. minor/moderate
3. moderate
4. moderate/severe
5. severe","Safety population, three patients in the Sham device group have no data","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Disability score at 2 weeks","OG001",3.2,0.2,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Mobility at baseline","OG000",1.2,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Mobility at baseline","OG001",1.2,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
